img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_8187431AmericaFrontccc.png,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,Sports,Nintendo,Sega Sports R&D,5.9,0.8,0.37,0.14,0.23,0.06,15-11-2013,31-01-2018
/games/boxart/full_4517465AmericaFrontccc.jpg,Pro Evolution Soccer 2010,PSP,Sports,Konami,Konami,,0.8,0.09,0.2,0.33,0.18,10-11-2009,
/games/boxart/full_5084854AmericaFrontccc.jpg,Need for Speed: Hot Pursuit 2,GC,Racing,Electronic Arts,EA Seattle,7.5,0.8,0.68,,0.09,0.02,01-10-2002,
/games/boxart/full_1299762AmericaFrontccc.jpg,DiRT 2,X360,Racing,Codemasters,Codemasters,8.8,0.8,0.32,0,0.39,0.09,08-09-2009,
/games/boxart/full_moto-racer_888AmericaFront.jpg,Moto Racer,PS,Racing,Electronic Arts,Delphine Software International,,0.8,0.45,,0.3,0.05,30-11-1997,
/games/boxart/747317ccc.jpg,Star Wars Rogue Squadron III: Rebel Strike,GC,Simulation,LucasArts,Factor 5,8.3,0.8,0.62,,0.16,0.02,15-10-2003,
/games/boxart/2058232ccc.jpg,The Sims 2: Pets,PSP,Simulation,Electronic Arts,Maxis,5.8,0.8,0.19,,0.39,0.22,14-12-2006,
/games/boxart/4552657ccc.jpg,Hitman: Contracts,PS2,Shooter,Eidos Interactive,IO Interactive,,0.8,0.39,,0.31,0.1,20-04-2004,
/games/boxart/full_7883580AmericaFrontccc.jpg,WWE 2K15,PS3,Sports,2K Sports,Visual Concepts,,0.8,0.37,,0.29,0.13,28-10-2014,06-01-2018
/games/boxart/full_9911271AmericaFrontccc.jpg,PES 2009: Pro Evolution Soccer,PSP,Sports,Konami,Konami,7.3,0.8,0.04,0.26,0.33,0.17,11-11-2008,
/games/boxart/full_2353603AmericaFrontccc.jpg,Capcom's Soccer Shootout,SNES,Sports,Capcom,Capcom,,0.8,,0.8,,,01-06-1994,
/games/boxart/full_6892940AmericaFrontccc.jpg,Armored Core 2,PS2,Simulation,Agetec,From Software,,0.79,0.28,0.23,0.22,0.07,24-10-2000,
/games/boxart/full_pro-evolution-soccer-2011_10AmericaFront.jpg,Pro Evolution Soccer 2011,PSP,Sports,Konami,Konami,,0.79,0.05,0.29,0.3,0.16,02-11-2010,
/games/boxart/full_6083287AmericaFrontccc.jpg,All Star Cheer Squad,Wii,Sports,THQ,Gorilla Systems,,0.79,0.43,,0.29,0.08,27-10-2008,
/games/boxart/full_8408138AmericaFrontccc.jpg,The Sims 2: Castaway,PSP,Simulation,Electronic Arts,Maxis,,0.79,0.08,,0.46,0.25,22-10-2007,
/games/boxart/full_6031638AmericaFrontccc.jpg,Dance Dance Revolution SuperNOVA 2,PS2,Simulation,Konami,Konami Computer Entertainment Tokyo,,0.79,0.64,0.02,0.03,0.1,25-09-2007,
/games/boxart/full_5263763AmericaFrontccc.jpg,Major League Baseball Featuring Ken Griffey Jr,N64,Sports,Nintendo,Angel Studios,,0.79,0.75,,0.03,0.01,31-05-1998,
/games/boxart/full_7838058AmericaFrontccc.jpg,NCAA Football 08,PS2,Sports,Electronic Arts,EA Tiburon,,0.79,0.65,,0.03,0.11,17-07-2007,
/games/boxart/7740833ccc.jpg,FIFA Soccer 2004,XB,Sports,EA Sports,EA Canada,,0.79,0.24,,0.49,0.05,04-11-2003,
/games/boxart/full_967876AmericaFrontccc.jpg,Darksiders II,X360,Action-Adventure,THQ,Vigil Games,8.6,0.79,0.45,0,0.27,0.07,14-08-2012,07-02-2018
/games/boxart/full_6154805AmericaFrontccc.jpg,Ridge Racer,PS,Racing,Namco,Namco,9,0.79,,0.74,,0.05,09-09-1995,
/games/boxart/5271691ccc.jpg,Motocross Mania,PS,Racing,Take-Two Interactive,Deibus Studios,,0.79,0.44,,0.3,0.05,09-07-2001,
/games/boxart/full_1821060AmericaFrontccc.jpg,Final Fantasy XIV: A Realm Reborn,PS4,MMO,Square Enix,Square Enix,,0.79,0.35,0.08,0.23,0.12,14-04-2014,23-01-2018
/games/boxart/full_invizimals_9AmericaFront.jpg,Invizimals,PSP,Strategy,Sony Computer Entertainment,Novarama,6.6,0.79,0.17,,0.51,0.11,12-10-2010,
/games/boxart/2879213ccc.jpg,Harvest Moon: A Wonderful Life,GC,Role-Playing,Natsume,Marvelous Interactive,8.2,0.79,0.61,,0.16,0.02,16-03-2004,
/games/boxart/3942181ccc.jpg,Guitar Hero: Aerosmith,PS2,Misc,Activision,BudCat Creations,,0.79,0.61,,0,0.18,29-06-2008,
/games/boxart/full_4976933AmericaFrontccc.jpg,Dead Island: Riptide,X360,Misc,Deep Silver,Techland,5.6,0.79,0.44,0.01,0.27,0.07,23-04-2013,15-03-2018
/games/boxart/351031ccc.jpg,WCW Mayhem,N64,Fighting,Electronic Arts,Kodiak Interactive,,0.79,0.63,,0.15,0.01,22-09-1999,
/games/boxart/4910706ccc.jpg,Alien,2600,Action,20th Century Fox Video Games,20th Century Fox Video Games,,0.79,0.74,,0.04,0.01,01-01-1982,
/games/boxart/full_4750899AmericaFrontccc.jpg,Assassin's Creed The Ezio Collection,PS4,Action,Ubisoft,Ubisoft,,0.79,0.14,0.02,0.52,0.12,15-11-2016,14-01-2018
/games/boxart/default.jpg,Prototype 2,X360,Action,Activision,Radical Entertainment,,0.79,0.48,,0.24,0.06,24-04-2012,
/games/boxart/full_9309905AmericaFrontccc.jpg,Dragon's Dogma,X360,Role-Playing,Capcom,Capcom,,0.79,0.42,0.07,0.24,0.06,22-05-2012,29-01-2019
/games/boxart/full_8398667AmericaFrontccc.jpg,The Godfather II,X360,Adventure,Electronic Arts,EA Redwood Shores,6.2,0.79,0.47,0.01,0.23,0.08,07-04-2009,
/games/boxart/full_4006868AmericaFrontccc.jpg,NBA 2K16,PS3,Sports,2K Sports,Visual Concepts,,0.79,0.49,0.05,0.12,0.13,29-09-2015,28-03-2018
/games/boxart/full_7603677AmericaFrontccc.jpg,Band Hero,X360,Misc,Activision,Neversoft Entertainment,7.6,0.79,0.51,,0.21,0.07,03-11-2009,
/games/boxart/7305119ccc.jpg,Mega Man 5,NES,Platform,Capcom,Capcom,,0.79,0.39,0.32,0.07,0.01,01-12-1992,
/games/boxart/full_4977848JapanFrontccc.jpg,Dragon Quest Monsters 2,3DS,Role-Playing,Square Enix,TOSE Software,,0.79,,0.79,,,06-02-2014,07-01-2018
/games/boxart/full_6666310AmericaFrontccc.jpg,James Bond 007: Nightfire,GC,Shooter,Electronic Arts,Eurocom Entertainment Software,8.1,0.78,0.6,,0.16,0.02,18-11-2002,
/games/boxart/full_5980403AmericaFrontccc.jpg,Shadow of the Tomb Raider,XOne,Action-Adventure,Square Enix,Eidos Montreal,,0.78,0.46,,0.25,0.07,14-09-2018,12-09-2018
/games/boxart/7660517ccc.jpg,Battle Stations,PS,Strategy,Electronic Arts,Realtime Associates,,0.78,0.43,,0.29,0.05,31-03-1997,
/games/boxart/full_goldeneye-007-reloaded_230AmericaFront.jpg,Goldeneye 007: Reloaded,PS3,Shooter,Activision,Eurocom,7.4,0.78,0.33,,0.33,0.12,01-11-2011,
/games/boxart/full_4296430AmericaFrontccc.jpg,MadWorld,Wii,Action,Sega,PlatinumGames,8.1,0.78,0.45,0.02,0.24,0.07,10-03-2009,
/games/boxart/full_5248298PALFrontccc.png,F1 2016,PS4,Racing,Codemasters,Codemasters,8,0.78,0.07,0.03,0.56,0.11,01-01-2017,14-05-2018
/games/boxart/full_8585987AmericaFrontccc.jpg,Need for Speed: ProStreet,PSP,Racing,Electronic Arts,EA Black Box,5.6,0.78,0.24,0.01,0.33,0.19,18-02-2008,
/games/boxart/full_4181192AmericaFrontccc.png,Hitman,PS4,Action,Square Enix,IO Interactive,,0.78,0.24,0.06,0.36,0.11,31-01-2017,01-05-2018
/games/boxart/full_3128020AmericaFrontccc.jpg,Drawn to Life,DS,Adventure,THQ,5TH Cell,,0.78,0.71,,0.01,0.06,10-09-2007,
/games/boxart/full_837231AmericaFrontccc.jpeg,Dragon Age: Inquisition,PC,Role-Playing,Electronic Arts,BioWare Edmonton,,0.78,0.38,,0.33,0.07,18-11-2014,05-01-2019
/games/boxart/full_fight-night-champion_318AmericaFront.jpg,Fight Night Champion,X360,Fighting,EA Sports,EA Canada,8.4,0.78,0.4,,0.31,0.07,01-03-2011,
/games/boxart/full_naruto-shippuden-ultimate-ninja-storm-2_3AmericaFront.jpg,Naruto Shippuden: Ultimate Ninja Storm 2,X360,Fighting,Namco Bandai,CyberConnect2,7.6,0.78,0.43,0.01,0.27,0.07,19-10-2010,
/games/boxart/full_8142512AmericaFrontccc.jpg,Tiger Woods PGA Tour 10,PS3,Sports,EA Sports,EA Tiburon,8.4,0.78,0.42,,0.25,0.11,08-06-2009,
/games/boxart/full_266988AmericaFrontccc.jpg,Personal Trainer: Walking,DS,Sports,Nintendo,Creatures Inc.,,0.78,0.22,0.17,0.32,0.07,26-05-2009,
